832.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
833.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
834.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
835.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
836.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
837.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
838.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
839.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
840.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
841.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
842.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
843.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
844.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
845.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
846.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
847.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
848.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
849.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
850.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
851.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
852.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
853.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
854.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
855.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
856.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
857.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
858.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
859.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
860.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
861.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
862.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
863.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
864.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
865.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
866.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
867.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
868.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
869.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
870.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
871.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
872.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
873.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
874.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
875.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
876.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
877.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
878.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
879.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
880.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
881.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
882.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
883.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
884.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
885.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
886.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
887.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
888.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
889.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
890.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
891.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
892.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
893.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
894.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
895.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
896.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
897.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
898.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
899.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
900.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
901.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
902.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
903.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
904.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
905.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
906.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
907.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
908.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
909.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
910.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
911.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
912.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
913.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
914.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
915.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
916.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
917.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
918.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
919.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
920.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
921.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
922.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
923.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
924.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
925.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
926.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
927.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
928.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
929.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
930.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
931.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
932.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
933.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
934.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
935.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
936.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
937.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
938.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
939.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
940.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
941.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
942.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
943.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
944.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
945.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
946.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
947.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
948.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
949.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
950.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
951.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
952.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
953.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
954.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
955.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
956.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
957.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
958.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
959.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
960.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
961.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
962.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
963.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
964.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
965.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
966.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
967.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
968.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
969.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
970.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
971.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
972.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
973.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
974.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
975.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
976.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
977.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
978.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
979.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
980.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
981.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
982.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
983.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
984.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
985.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
986.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
987.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
988.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
989.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
990.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
991.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
992.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
993.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
994.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
995.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
996.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
997.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
998.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
999.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1000.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1001.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1002.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1003.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1004.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1005.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1006.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1007.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1008.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1009.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1010.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1011.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1012.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1013.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1014.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1015.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1016.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1017.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1018.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1019.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1020.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1021.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1022.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1023.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1024.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1025.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1026.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1027.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1028.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1029.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1030.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1031.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1032.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1033.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1034.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1035.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1036.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1037.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1038.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1039.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1040.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1041.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1042.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1043.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1044.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1045.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1046.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1047.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1048.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1049.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1050.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1051.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1052.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1053.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1054.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1055.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1056.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1057.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1058.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1059.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1060.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1061.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1062.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1063.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1064.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1065.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1066.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1067.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1068.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1069.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1070.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1071.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1072.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1073.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1074.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1075.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1076.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1077.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1078.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1079.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1080.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1081.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1082.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1083.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1084.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1085.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1086.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1087.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1088.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1089.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1090.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1091.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1092.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1093.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1094.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1095.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1096.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1097.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1098.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1099.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1100.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1101.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1102.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1103.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1104.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1105.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1106.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1107.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1108.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1109.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1110.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1111.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1112.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1113.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1114.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1115.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1116.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1117.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1118.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1119.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1120.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1121.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1122.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1123.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1124.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1125.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1126.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1127.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1128.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1129.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1130.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1131.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1132.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1133.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1134.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1135.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1136.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1137.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1138.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1139.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1140.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1141.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1142.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1143.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1144.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1145.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1146.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1147.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1148.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1149.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1150.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1151.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1152.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1153.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1154.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1155.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1156.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1157.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1158.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1159.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1160.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1161.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1162.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1163.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1164.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1165.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1166.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1167.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1168.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1169.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1170.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1171.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1172.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1173.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1174.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1175.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1176.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1177.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1178.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1179.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1180.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1181.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1182.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1183.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1184.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1185.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1186.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1187.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1188.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1189.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1190.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1191.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1192.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1193.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1194.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1195.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1196.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1197.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1198.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1199.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1200.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1201.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1202.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1203.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1204.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1205.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1206.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1207.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1208.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1209.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1210.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1211.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1212.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1213.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1214.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1215.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1216.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1217.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1218.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1219.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1220.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1221.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1222.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1223.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1224.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1225.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1226.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1227.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1228.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1229.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1230.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1231.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1232.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1233.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1234.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1235.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1236.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1237.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1238.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1239.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1240.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1241.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1242.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1243.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1244.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1245.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1246.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
1247.0;0.010659041121092977;0.002088934738510248;9.342000151739324E-5
